Country or Territory,Estimated Population 2020,Region,Sub-Region
Afghanistan,38928341,CENTRAL AND SOUTHERN ASIA,Southern Asia
Albania,2877800,EUROPE,Southern Europe
Algeria,43851043,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa
American Samoa,55197,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
Andorra,77265,EUROPE,Southern Europe
Angola,32866268,SUB-SAHARAN AFRICA,Middle Africa
Anguilla,15002,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Antigua and Barbuda,97928,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Argentina,45195777,LATIN AMERICA AND THE CARIBBEAN,South America
Armenia,2963234,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Aruba,106766,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Australia,25499881,AUSTRALIA/NEW ZEALAND,
Austria,9006400,EUROPE,Western Europe
Azerbaijan,10139175,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Bahamas,393248,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Bahrain,1701583,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Bangladesh,164689383,CENTRAL AND SOUTHERN ASIA,Southern Asia
Barbados,287371,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Belarus,9449321,EUROPE,Eastern Europe
Belgium,11589616,EUROPE,Western Europe
Belize,397621,LATIN AMERICA AND THE CARIBBEAN,Central America
Benin,12123198,SUB-SAHARAN AFRICA,Western Africa
Bermuda,62273,NORTHERN AMERICA,
Bhutan,771612,CENTRAL AND SOUTHERN ASIA,Southern Asia
Bolivia (Plurinational State of),11673029,LATIN AMERICA AND THE CARIBBEAN,South America
"Bonaire, Sint Eustatius and Saba",26221,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Bosnia and Herzegovina,3280815,EUROPE,Southern Europe
Botswana,2351625,SUB-SAHARAN AFRICA,Southern Africa
Brazil,212559409,LATIN AMERICA AND THE CARIBBEAN,South America
British Virgin Islands,30237,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Brunei Darussalam,437483,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Bulgaria,6948445,EUROPE,Eastern Europe
Burkina Faso,20903278,SUB-SAHARAN AFRICA,Western Africa
Burundi,11890781,SUB-SAHARAN AFRICA,Eastern Africa
Cabo Verde,555988,SUB-SAHARAN AFRICA,Western Africa
Cambodia,16718971,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Cameroon,26545864,SUB-SAHARAN AFRICA,Middle Africa
Canada,37742157,NORTHERN AMERICA,
Cayman Islands,65720,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Central African Republic,4829764,SUB-SAHARAN AFRICA,Middle Africa
Chad,16425859,SUB-SAHARAN AFRICA,Middle Africa
Channel Islands,173859,EUROPE,Northern Europe
Chile,19116209,LATIN AMERICA AND THE CARIBBEAN,South America
China,1439323774,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
"China, Hong Kong SAR",7496988,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
"China, Macao SAR",649342,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
"China, Taiwan Province of China",23816775,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
Colombia,50882884,LATIN AMERICA AND THE CARIBBEAN,South America
Comoros,869595,SUB-SAHARAN AFRICA,Eastern Africa
Congo,5518092,SUB-SAHARAN AFRICA,Middle Africa
Cook Islands,17564,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
Costa Rica,5094114,LATIN AMERICA AND THE CARIBBEAN,Central America
Côte d'Ivoire,26378275,SUB-SAHARAN AFRICA,Western Africa
Croatia,4105268,EUROPE,Southern Europe
Cuba,11326616,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Curaçao,164100,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Cyprus,1207361,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Czechia,10708982,EUROPE,Eastern Europe
Dem. People's Republic of Korea,25778815,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
Democratic Republic of the Congo,89561404,SUB-SAHARAN AFRICA,Middle Africa
Denmark,5792203,EUROPE,Northern Europe
Djibouti,988002,SUB-SAHARAN AFRICA,Eastern Africa
Dominica,71991,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Dominican Republic,10847904,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Ecuador,17643060,LATIN AMERICA AND THE CARIBBEAN,South America
Egypt,102334403,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa
El Salvador,6486201,LATIN AMERICA AND THE CARIBBEAN,Central America
Equatorial Guinea,1402985,SUB-SAHARAN AFRICA,Middle Africa
Eritrea,3546427,SUB-SAHARAN AFRICA,Eastern Africa
Estonia,1326539,EUROPE,Northern Europe
Eswatini,1160164,SUB-SAHARAN AFRICA,Southern Africa
Ethiopia,114963583,SUB-SAHARAN AFRICA,Eastern Africa
Falkland Islands (Malvinas),3483,LATIN AMERICA AND THE CARIBBEAN,South America
Faroe Islands,48865,EUROPE,Northern Europe
Fiji,896444,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia
Finland,5540718,EUROPE,Northern Europe
France,65273512,EUROPE,Western Europe
French Guiana,298682,LATIN AMERICA AND THE CARIBBEAN,South America
French Polynesia,280904,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
Gabon,2225728,SUB-SAHARAN AFRICA,Middle Africa
Gambia,2416664,SUB-SAHARAN AFRICA,Western Africa
Georgia,3989175,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Germany,83783945,EUROPE,Western Europe
Ghana,31072945,SUB-SAHARAN AFRICA,Western Africa
Gibraltar,33691,EUROPE,Southern Europe
Greece,10423056,EUROPE,Southern Europe
Greenland,56772,NORTHERN AMERICA,
Grenada,112519,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Guadeloupe,400127,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Guam,168783,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia
Guatemala,17915567,LATIN AMERICA AND THE CARIBBEAN,Central America
Guinea,13132792,SUB-SAHARAN AFRICA,Western Africa
Guinea-Bissau,1967998,SUB-SAHARAN AFRICA,Western Africa
Guyana,786559,LATIN AMERICA AND THE CARIBBEAN,South America
Haiti,11402533,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Holy See,809,EUROPE,Southern Europe
Honduras,9904608,LATIN AMERICA AND THE CARIBBEAN,Central America
Hungary,9660350,EUROPE,Eastern Europe
Iceland,341250,EUROPE,Northern Europe
India,1380004385,CENTRAL AND SOUTHERN ASIA,Southern Asia
Indonesia,273523621,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Iran (Islamic Republic of),83992953,CENTRAL AND SOUTHERN ASIA,Southern Asia
Iraq,40222503,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Ireland,4937796,EUROPE,Northern Europe
Isle of Man,85032,EUROPE,Northern Europe
Israel,8655541,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Italy,60461828,EUROPE,Southern Europe
Jamaica,2961161,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Japan,126476458,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
Jordan,10203140,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Kazakhstan,18776707,CENTRAL AND SOUTHERN ASIA,Central Asia
Kenya,53771300,SUB-SAHARAN AFRICA,Eastern Africa
Kiribati,119446,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia
